代码,名称,操作建议,大趋势,偏离度%,当前连跌,全2均涨,全2胜率%,全3均涨,全3胜率%,全4均涨,全4胜率%,全5均涨,全5胜率%,3年2均涨,3年2胜率%,3年3均涨,3年3胜率%,3年4均涨,3年4胜率%,3年5均涨,3年5胜率%,实时溢价率,参考净值
159660,纳指ETF汇添富,👑今日之星 🔴顺势 ⭐⭐⭐⭐⭐⭐⭐⭐,多头,-3.57,6,0.1,45.45,0.04,52.94,-0.23,43.75,0.08,55.56,0.1,45.45,0.04,52.94,-0.23,43.75,0.08,55.56,未知,未知
159577,美国50ETF,🔴顺势 ⭐⭐⭐⭐⭐⭐⭐⭐,多头,-3.06,6,0.18,52.0,0.09,54.17,-0.47,40.0,-0.09,33.33,0.18,52.0,0.09,54.17,-0.47,40.0,-0.09,33.33,未知,未知
560690,电信ETF鹏华,🔴顺势 ⭐⭐⭐⭐⭐⭐⭐,多头,-2.49,7,0.15,58.0,0.79,56.25,0.11,50.0,-0.74,50.0,0.15,58.0,0.79,56.25,0.11,50.0,-0.74,50.0,未知,未知
563010,电信ETF易方达,🔴顺势 ⭐⭐⭐⭐⭐⭐⭐,多头,-2.44,7,0.11,51.28,0.31,62.16,0.21,71.43,-1.26,25.0,0.11,51.28,0.31,62.16,0.21,71.43,-1.26,25.0,未知,未知
512150,A50ETF,🔴顺势 ⭐⭐⭐⭐⭐⭐⭐,多头,-1.75,7,0.1,53.95,0.06,46.74,0.15,52.27,-0.85,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,未知
517360,科技ETF沪港深,🔴顺势 ⭐⭐⭐⭐⭐⭐⭐,多头,-0.7,7,0.04,48.91,0.16,56.67,0.08,50.0,-0.03,50.0,-0.02,41.3,0.68,52.94,0.01,42.86,0.88,100.0,未知,未知
510150,消费ETF,🔴顺势 ⭐⭐⭐⭐⭐⭐⭐,多头,-0.34,7,0.13,47.5,0.01,46.15,0.25,60.27,0.05,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,未知
513390,纳指100ETF,🔴顺势 ⭐⭐⭐⭐⭐⭐,多头,-2.36,6,0.14,49.18,0.05,56.67,-0.45,38.46,0.14,50.0,0.14,49.18,0.05,56.67,-0.45,38.46,0.14,50.0,未知,未知
513090,香港证券ETF易方达,🔴顺势 ⭐⭐⭐⭐⭐⭐,多头,-1.68,6,-0.11,44.32,0.14,50.52,0.1,48.89,0.83,65.22,0.31,66.67,-0.36,50.0,-0.59,50.0,0.37,100.0,未知,未知
159760,医疗健康ETF泰康,🔴顺势 ⭐⭐⭐⭐⭐⭐,多头,-0.88,6,-0.02,40.48,-0.02,48.53,0.21,38.71,-0.8,17.65,0.14,44.62,0.04,45.95,0.45,44.44,0.71,71.43,未知,未知
512010,医药ETF易方达,🔴顺势 ⭐⭐⭐⭐⭐⭐,多头,-0.48,6,-0.02,47.09,0.1,53.1,0.18,46.43,-0.19,32.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,未知
513850,美国50ETF易方达,🔴顺势 ⭐⭐⭐⭐⭐,多头,-3.15,3,0.17,55.17,-0.29,55.0,-0.27,44.44,0.56,50.0,0.17,55.17,-0.29,55.0,-0.27,44.44,0.56,50.0,未知,未知
520500,恒生创新药ETF,🔴顺势 ⭐⭐⭐⭐⭐,多头,-1.17,5,-0.23,42.86,-0.51,38.89,1.48,88.89,0.0,0.0,-0.23,42.86,-0.51,38.89,1.48,88.89,0.0,0.0,未知,未知
159567,港股创新药ETF,🔴顺势 ⭐⭐⭐⭐⭐,多头,-0.99,5,0.24,52.46,-0.51,40.74,0.51,60.0,0.79,75.0,0.24,52.46,-0.51,40.74,0.51,60.0,0.79,75.0,未知,未知
510900,恒生中国企业ETF易方达,🔴顺势 ⭐⭐⭐⭐⭐,多头,-0.84,5,-0.04,50.25,0.01,51.08,0.46,56.63,0.12,52.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,未知
159954,恒生中国企业ETF南方,🔴顺势 ⭐⭐⭐⭐⭐,多头,-0.59,5,-0.18,47.53,0.06,50.88,0.15,43.64,-0.18,42.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,未知
159960,恒生中国企业ETF,🔴顺势 ⭐⭐⭐⭐⭐,多头,-0.57,5,-0.17,46.08,0.2,51.4,-0.07,45.45,-0.15,57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,未知
159850,恒生国企ETF,🔴顺势 ⭐⭐⭐⭐⭐,多头,-0.55,5,-0.19,47.77,0.17,47.95,0.09,47.06,0.2,56.25,0.22,53.85,0.11,61.11,-0.59,36.36,-1.27,75.0,未知,未知
159788,港股通100ETF易方达,🔴顺势 ⭐⭐⭐⭐⭐,多头,-0.48,5,-0.26,41.07,0.14,51.72,0.18,53.85,0.24,50.0,-0.18,41.38,-0.21,36.67,0.18,64.29,-0.08,40.0,未知,未知
159570,港股通创新药ETF,🔴顺势 ⭐⭐⭐⭐⭐,多头,-0.47,5,0.13,51.67,-0.33,46.43,0.79,57.14,0.88,75.0,0.13,51.67,-0.33,46.43,0.79,57.14,0.88,75.0,未知,未知
