代码,名称,买入日期,买入价格,当前价格,盈亏比例,当前折价,更新时间
159206,卫星ETF,2026/1/20,1.895,1.631,-13.93%,-0.11%,2026/4/1 16:47:11
159338,中证A500ETF,2026/2/14,1.237,1.192,-3.64%,1.84%,2026/4/1 16:47:11
159351,A500ETF嘉实,2026/2/14,1.243,1.194,-3.94%,1.68%,2026/4/1 16:47:11
159352,A500ETF南方,2026/2/14,1.285,1.237,-3.74%,1.74%,2026/4/1 16:47:11
159361,A500ETF易方达,2026/2/14,1.259,1.212,-3.73%,1.77%,2026/4/1 16:47:11
159363,创业板人工智能ETF华宝,2026/1/20,1.043,1.076,3.16%,4.12%,2026/4/1 16:47:11
159516,半导体设备ETF,2026/1/22,1.899,0.833,-56.13%,1.93%,2026/4/1 16:47:11
159636,港股通科技30ETF工银,2026/3/13,0.582,0.563,-3.26%,2.18%,2026/4/1 16:47:11
159740,恒生科技ETF大成,2026/1/19,0.744,0.607,-18.41%,2.03%,2026/4/1 16:47:11
159792,港股通互联网ETF,2026/1/19,0.902,0.694,-23.06%,2.10%,2026/4/1 16:47:11
159845,中证1000ETF,2026/1/20,3.375,3.199,-5.21%,1.86%,2026/4/1 16:47:11
159852,软件ETF,2026/1/20,0.961,0.785,-18.31%,2.29%,2026/4/1 16:47:11
159915,创业板ETF易方达,2026/1/20,3.263,3.232,-0.95%,1.73%,2026/4/1 16:47:11
159949,创业板50ETF,2026/1/20,1.534,1.530,-0.26%,1.93%,2026/4/1 16:47:11
510300,沪深300ETF华泰柏瑞,2026/2/14,4.671,4.534,-2.93%,1.67%,2026/4/1 16:47:11
512050,A500ETF基金,2026/2/14,1.229,1.184,-3.66%,1.84%,2026/4/1 16:47:11
512100,中证1000ETF,2026/1/20,3.277,3.107,-5.19%,1.84%,2026/4/1 16:47:11
512710,军工龙头ETF,2026/1/20,0.866,0.758,-12.47%,0.30%,2026/4/1 16:47:11
513090,香港证券ETF易方达,2026/1/19,2.083,1.741,-16.42%,1.97%,2026/4/1 16:47:11
513130,恒生科技ETF,2026/1/19,0.745,0.605,-18.79%,1.90%,2026/4/1 16:47:11
513180,恒生科技指数ETF,2026/1/19,0.762,0.616,-19.16%,2.12%,2026/4/1 16:47:11
513750,港股通非银ETF,2026/1/17,1.792,1.561,-12.89%,1.67%,2026/4/1 16:47:11
513770,港股互联网ETF,2026/1/19,0.553,0.426,-22.97%,2.16%,2026/4/1 16:47:11
513980,港股科技50ETF,2026/1/20,0.74,0.639,-13.65%,2.50%,2026/4/1 16:47:11
515880,通信ETF,2026/3/12,1.088,1.101,1.19%,3.11%,2026/4/1 16:47:11
560010,中证1000ETF广发,2026/1/26,3.432,3.187,-7.14%,1.79%,2026/4/1 16:47:11
561360,石油ETF,2026/3/10,1.635,1.544,-5.57%,1.45%,2026/4/1 16:47:11
562500,机器人ETF,2026/1/20,1.097,0.943,-14.04%,2.78%,2026/4/1 16:47:11
563360,A500ETF华泰柏瑞,2026/1/30,1.316,1.257,-4.48%,1.77%,2026/4/1 16:47:11
588080,科创50ETF易方达,2026/1/20,1.51,1.326,-12.19%,3.34%,2026/4/1 16:47:11
588200,科创芯片ETF,2026/1/26,2.739,2.377,-13.22%,3.76%,2026/4/1 16:47:11
