日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-27,1.025,1.013,1.044,1.012,2167707,223806492.381,3.11,-1.46,-0.015,66.58
2025-08-28,1.01,1.027,1.028,1.002,363918,36947511.501,2.57,1.38,0.014,11.18
2025-08-29,1.026,1.04,1.052,1.022,533574,55406678.894,2.92,1.27,0.013,16.39
2025-09-01,1.04,1.052,1.056,1.038,397802,41687375.369,1.73,1.15,0.012,12.22
2025-09-02,1.052,1.029,1.054,1.017,155267,16119573.667,3.52,-2.19,-0.023,4.77
2025-09-03,1.028,1.019,1.035,1.015,176314,18076209.883,1.94,-0.97,-0.01,5.42
2025-09-04,1.019,0.99,1.034,0.975,136621,13819926.09,5.79,-2.85,-0.029,4.2
2025-09-05,0.994,1.036,1.039,0.988,244467,24979663.063,5.15,4.65,0.046,7.51
2025-09-08,1.037,1.039,1.05,1.022,95595,9874064.286,2.7,0.29,0.003,2.94
2025-09-09,1.031,1.02,1.036,1.013,111193,11402467.32,2.21,-1.83,-0.019,3.42
2025-09-10,1.02,1.028,1.033,1.016,146084,15004846.289,1.67,0.78,0.008,4.49
2025-09-11,1.02,1.064,1.066,1.018,360995,37940123.275,4.67,3.5,0.036,11.09
2025-09-12,1.063,1.06,1.07,1.053,219789,23347893.908,1.6,-0.38,-0.004,6.75
2025-09-15,1.058,1.065,1.076,1.058,129314,13845040.74,1.7,0.47,0.005,3.97
2025-09-16,1.065,1.078,1.079,1.057,126638,13497515.624,2.07,1.22,0.013,3.89
2025-09-17,1.078,1.095,1.097,1.076,126705,13803927.392,1.95,1.58,0.017,3.89
2025-09-18,1.086,1.078,1.103,1.064,92581,10061496.547,3.56,-1.55,-0.017,2.84
2025-09-19,1.078,1.071,1.084,1.065,59483,6400455.461,1.76,-0.65,-0.007,1.83
2025-09-22,1.071,1.078,1.079,1.065,93191,9996514.097,1.31,0.65,0.007,2.86
2025-09-23,1.08,1.071,1.085,1.048,94504,10077763.179,3.43,-0.65,-0.007,2.9
2025-09-24,1.071,1.091,1.091,1.063,57680,6245571.313,2.61,1.87,0.02,1.77
2025-09-25,1.091,1.098,1.109,1.087,97912,10779274.311,2.02,0.64,0.007,3.01
2025-09-26,1.105,1.076,1.105,1.075,77703,8449598.776,2.73,-2.0,-0.022,2.39
2025-09-29,1.076,1.093,1.098,1.076,30844,3350215.274,2.04,1.58,0.017,0.95
2025-09-30,1.093,1.099,1.103,1.09,27128,2977885.497,1.19,0.55,0.006,0.83
2025-10-09,1.098,1.103,1.117,1.098,71798,7950397.786,1.73,0.36,0.004,2.21
2025-10-10,1.1,1.07,1.1,1.068,56430,6091893.254,2.9,-2.99,-0.033,1.73
2025-10-13,1.043,1.06,1.066,1.033,34710,3650286.059,3.08,-0.93,-0.01,1.07
2025-10-14,1.061,1.035,1.075,1.033,131149,13976562.46,3.96,-2.36,-0.025,4.03
2025-10-15,1.036,1.051,1.051,1.021,82868,8602675.711,2.9,1.55,0.016,2.55
2025-10-16,1.048,1.046,1.055,1.04,18478,1933243.642,1.43,-0.48,-0.005,0.57
2025-10-17,1.044,1.017,1.047,1.015,66654,6843244.803,3.06,-2.77,-0.029,2.05
2025-10-20,1.025,1.029,1.037,1.022,89367,9203122.371,1.47,1.18,0.012,2.74
2025-10-21,1.029,1.05,1.053,1.029,85661,8932408.8,2.33,2.04,0.021,2.63
2025-10-22,1.042,1.044,1.053,1.041,50727,5302873.899,1.14,-0.57,-0.006,1.56
2025-10-23,1.043,1.047,1.047,1.029,76362,7906978.195,1.72,0.29,0.003,2.35
2025-10-24,1.05,1.069,1.07,1.05,100211,10633562.606,1.91,2.1,0.022,3.08
2025-10-27,1.075,1.087,1.089,1.074,127827,13866435.94,1.4,1.68,0.018,3.93
2025-10-28,1.086,1.086,1.099,1.079,136937,14928806.838,1.84,-0.09,-0.001,4.21
2025-10-29,1.093,1.107,1.107,1.09,97299,10686624.391,1.57,1.93,0.021,2.99
2025-10-30,1.107,1.09,1.107,1.087,66274,7276919.48,1.81,-1.54,-0.017,2.04
2025-10-31,1.091,1.081,1.099,1.081,62500,6808522.691,1.65,-0.83,-0.009,1.92
2025-11-03,1.081,1.085,1.087,1.067,47187,5081026.738,1.85,0.37,0.004,1.45
2025-11-04,1.084,1.069,1.085,1.062,63764,6838124.276,2.12,-1.47,-0.016,1.96
2025-11-05,1.06,1.075,1.079,1.053,57833,6166803.574,2.43,0.56,0.006,1.78
2025-11-06,1.075,1.088,1.09,1.075,53484,5795783.349,1.4,1.21,0.013,1.64
2025-11-07,1.081,1.085,1.093,1.078,46427,5040825.5,1.38,-0.28,-0.003,1.43
2025-11-10,1.093,1.082,1.094,1.074,63704,6887980.772,1.84,-0.28,-0.003,1.96
2025-11-11,1.085,1.074,1.091,1.074,81872,8849987.244,1.57,-0.74,-0.008,2.51
2025-11-12,1.072,1.071,1.076,1.061,96395,10290986.416,1.4,-0.28,-0.003,2.96
2025-11-13,1.067,1.093,1.094,1.067,105014,11355367.177,2.52,2.05,0.022,3.23
2025-11-14,1.083,1.072,1.086,1.072,57080,6170940.181,1.28,-1.92,-0.021,1.75
2025-11-17,1.07,1.074,1.075,1.068,25187,2698817.232,0.65,0.19,0.002,0.77
2025-11-18,1.068,1.064,1.072,1.058,50038,5328285.479,1.3,-0.93,-0.01,1.54
2025-11-19,1.062,1.058,1.066,1.053,34123,3611683.9,1.22,-0.56,-0.006,1.05
2025-11-20,1.065,1.048,1.07,1.046,50198,5319543.362,2.27,-0.95,-0.01,1.54
2025-11-21,1.04,1.007,1.047,1.007,96741,9826768.401,3.82,-3.91,-0.041,2.97
2025-11-24,1.014,1.017,1.025,1.005,57356,5824968.568,1.99,0.99,0.01,1.76
2025-11-25,1.027,1.038,1.048,1.027,32913,3416431.908,2.06,2.06,0.021,1.01
2025-11-26,1.035,1.043,1.053,1.031,35886,3744942.859,2.12,0.48,0.005,1.1
2025-11-27,1.043,1.041,1.059,1.041,20067,2112275.63,1.73,-0.19,-0.002,0.62
2025-11-28,1.041,1.05,1.05,1.04,19086,1994231.598,0.96,0.86,0.009,0.59
2025-12-01,1.053,1.061,1.061,1.051,22225,2348667.0,0.95,1.05,0.011,0.68
2025-12-02,1.058,1.052,1.058,1.051,12504,1320813.222,0.66,-0.85,-0.009,0.38
2025-12-03,1.058,1.039,1.058,1.039,27018,2823919.001,1.81,-1.24,-0.013,0.83
2025-12-04,1.039,1.044,1.046,1.032,27157,2816277.338,1.35,0.48,0.005,0.83
2025-12-05,1.039,1.058,1.059,1.037,38008,3991077.7,2.11,1.34,0.014,1.17
2025-12-08,1.053,1.081,1.087,1.053,199144,21537355.483,3.21,2.17,0.023,6.12
2025-12-09,1.076,1.081,1.089,1.076,179342,19490855.832,1.2,0.0,0.0,5.51
2025-12-10,1.075,1.08,1.08,1.066,178943,19192848.268,1.3,-0.09,-0.001,5.5
2025-12-11,1.081,1.065,1.083,1.065,208933,22471852.7,1.67,-1.39,-0.015,6.42
2025-12-12,1.065,1.071,1.077,1.059,136836,14691341.887,1.69,0.56,0.006,4.2
2025-12-15,1.065,1.056,1.069,1.056,220350,23406383.353,1.21,-1.4,-0.015,6.77
2025-12-16,1.055,1.038,1.055,1.031,45645,4739478.4,2.27,-1.7,-0.018,1.4
2025-12-17,1.04,1.056,1.061,1.033,165930,17472682.4,2.7,1.73,0.018,5.1
2025-12-18,1.056,1.049,1.06,1.048,227877,24047076.371,1.14,-0.66,-0.007,7.0
2025-12-19,1.054,1.051,1.061,1.05,262978,27788735.4,1.05,0.19,0.002,8.08
2025-12-22,1.062,1.069,1.073,1.062,100550,10767044.54,1.05,1.71,0.018,3.09
2025-12-23,1.075,1.069,1.08,1.068,138453,14848239.061,1.12,0.0,0.0,4.25
2025-12-24,1.068,1.087,1.087,1.068,145876,15745986.315,1.78,1.68,0.018,4.48
2025-12-25,1.087,1.091,1.096,1.081,236792,25787756.396,1.38,0.37,0.004,7.27
2025-12-26,1.09,1.093,1.099,1.085,229669,25107271.393,1.28,0.18,0.002,7.05
2025-12-29,1.09,1.086,1.094,1.08,356282,38787731.286,1.28,-0.64,-0.007,10.94
2025-12-30,1.086,1.091,1.094,1.082,274671,29926584.948,1.1,0.46,0.005,8.44
2025-12-31,1.091,1.087,1.093,1.083,247896,26961526.511,0.92,-0.37,-0.004,7.61
2026-01-05,1.087,1.114,1.117,1.087,298157,33032277.211,2.76,2.48,0.027,9.16
2026-01-06,1.118,1.12,1.124,1.109,46621,5202144.016,1.35,0.54,0.006,1.43
2026-01-07,1.125,1.122,1.128,1.115,43192,4850141.384,1.16,0.18,0.002,1.33
2026-01-08,1.112,1.128,1.13,1.111,66709,7502214.537,1.69,0.53,0.006,2.05
2026-01-09,1.117,1.141,1.146,1.117,582506,66433626.549,2.57,1.15,0.013,17.89
2026-01-12,1.141,1.175,1.179,1.141,44802,5215879.459,3.33,2.98,0.034,1.38
2026-01-13,1.178,1.153,1.178,1.149,122775,14320691.839,2.47,-1.87,-0.022,3.77
2026-01-14,1.156,1.164,1.184,1.15,201745,23674528.059,2.95,0.95,0.011,6.2
2026-01-15,1.157,1.162,1.164,1.142,250412,28803146.7,1.89,-0.17,-0.002,7.69
2026-01-16,1.161,1.16,1.17,1.153,94209,10912915.712,1.46,-0.17,-0.002,2.89
2026-01-19,1.16,1.154,1.164,1.152,68549,7947554.837,1.03,-0.52,-0.006,2.11
2026-01-20,1.154,1.139,1.159,1.129,109677,12443261.652,2.6,-1.3,-0.015,3.37
